"Step","celestial-elevator-27 - psnr","celestial-elevator-27 - psnr__MIN","celestial-elevator-27 - psnr__MAX"
"0","38.62466666666666","38.62466666666666","38.62466666666666"
"1","39.394999999999996","39.394999999999996","39.394999999999996"
"2","39.394999999999996","39.394999999999996","39.394999999999996"
"3","39.394999999999996","39.394999999999996","39.394999999999996"
"4","39.394999999999996","39.394999999999996","39.394999999999996"
"5","39.394999999999996","39.394999999999996","39.394999999999996"
"6","39.394999999999996","39.394999999999996","39.394999999999996"
"7","39.394999999999996","39.394999999999996","39.394999999999996"
"8","42.717","42.717","42.717"
"9","44.93166666666666","44.93166666666666","44.93166666666666"
"10","44.93166666666666","44.93166666666666","44.93166666666666"
"11","44.93166666666666","44.93166666666666","44.93166666666666"
"12","44.93166666666666","44.93166666666666","44.93166666666666"
"13","44.93166666666666","44.93166666666666","44.93166666666666"
"14","44.93166666666666","44.93166666666666","44.93166666666666"
"15","44.93166666666666","44.93166666666666","44.93166666666666"
"16","44.93166666666666","44.93166666666666","44.93166666666666"
"17","44.93166666666666","44.93166666666666","44.93166666666666"
"18","44.93166666666666","44.93166666666666","44.93166666666666"
"19","44.93166666666666","44.93166666666666","44.93166666666666"
