"Step","lr-cosine-infer-bee640-400e - psnr","lr-cosine-infer-bee640-400e - psnr__MIN","lr-cosine-infer-bee640-400e - psnr__MAX"
"0","43.708666666666666","43.708666666666666","43.708666666666666"
"1","44.97","44.97","44.97"
"2","44.97","44.97","44.97"
"3","44.97","44.97","44.97"
"4","44.97","44.97","44.97"
"5","44.97","44.97","44.97"
"6","44.97","44.97","44.97"
"7","44.97","44.97","44.97"
"8","45.235","45.235","45.235"
"9","45.411666666666655","45.411666666666655","45.411666666666655"
"10","45.411666666666655","45.411666666666655","45.411666666666655"
"11","45.411666666666655","45.411666666666655","45.411666666666655"
"12","45.411666666666655","45.411666666666655","45.411666666666655"
"13","45.411666666666655","45.411666666666655","45.411666666666655"
"14","45.411666666666655","45.411666666666655","45.411666666666655"
"15","45.411666666666655","45.411666666666655","45.411666666666655"
"16","45.411666666666655","45.411666666666655","45.411666666666655"
"17","45.411666666666655","45.411666666666655","45.411666666666655"
"18","45.411666666666655","45.411666666666655","45.411666666666655"
"19","45.411666666666655","45.411666666666655","45.411666666666655"
