"Step","lr-cosine-infer-shake640-400e - psnr","lr-cosine-infer-shake640-400e - psnr__MIN","lr-cosine-infer-shake640-400e - psnr__MAX"
"0","45.364333333333335","45.364333333333335","45.364333333333335"
"1","48.46833333333334","48.46833333333334","48.46833333333334"
"2","48.46833333333334","48.46833333333334","48.46833333333334"
"3","48.46833333333334","48.46833333333334","48.46833333333334"
"4","48.46833333333334","48.46833333333334","48.46833333333334"
"5","48.46833333333334","48.46833333333334","48.46833333333334"
"6","48.46833333333334","48.46833333333334","48.46833333333334"
"7","48.46833333333334","48.46833333333334","48.46833333333334"
"8","48.46833333333334","48.46833333333334","48.46833333333334"
"9","48.46833333333334","48.46833333333334","48.46833333333334"
